ds,y,y2
2017-06-20,2721790039,272179
2017-06-21,2689100098,268910
2017-06-22,2705409912,270541
2017-06-23,2744909912,274491
2017-06-24,2608719971,260872
2017-06-25,2589409912,258941
2017-06-26,2478449951,247845
2017-06-27,2552449951,255245
2017-06-28,2574790039,257479
2017-06-29,2539320068,253932
2017-06-30,2480840088,248084
2017-07-01,2434550049,243455
2017-07-02,2506469971,250647
2017-07-03,2564060059,256406
2017-07-04,2601639893,260164
2017-07-05,2601989990,260199
2017-07-06,2608560059,260856
2017-07-07,2518659912,251866
2017-07-08,2571340088,257134
2017-07-09,2518439941,251844
2017-07-10,2372560059,237256
2017-07-11,2337790039,233779
2017-07-12,2398840088,239884
2017-07-13,2357899902,235790
2017-07-14,2233340088,223334
2017-07-15,1998859985,199886
2017-07-16,1929819946,192982
2017-07-17,2228409912,222841
2017-07-18,2318879883,231888
2017-07-19,2273429932,227343
2017-07-20,2817600098,281760
2017-07-21,2667760010,266776
2017-07-22,2810120117,281012
2017-07-23,2730399902,273040
2017-07-24,2754860107,275486
2017-07-25,2576479980,257648
2017-07-26,2529449951,252945
2017-07-27,2671780029,267178
2017-07-28,2809010010,280901
2017-07-29,2726449951,272645
2017-07-30,2757179932,275718
2017-07-31,2875340088,287534
2017-08-01,2718260010,271826
2017-08-02,2710669922,271067
2017-08-03,2804729980,280473
2017-08-04,2895889893,289589
2017-08-05,3252909912,325291
2017-08-06,3213939941,321394
2017-08-07,3378939941,337894
2017-08-08,3419939941,341994
2017-08-09,3342469971,334247
2017-08-10,3381280029,338128
2017-08-11,3650620117,365062
2017-08-12,3884709961,388471
2017-08-13,4073260010,407326
2017-08-14,4325129883,432513
2017-08-15,4181930176,418193
2017-08-16,4376629883,437663
2017-08-17,4331689941,433169
2017-08-18,4160620117,416062
2017-08-19,4193700195,419370
2017-08-20,4087659912,408766
2017-08-21,4001739990,400174
2017-08-22,4100520020,410052
2017-08-23,4151520020,415152
2017-08-24,4334680176,433468
2017-08-25,4371600098,437160
2017-08-26,4352399902,435240
2017-08-27,4382879883,438288
2017-08-28,4382660156,438266
2017-08-29,4579020020,457902
2017-08-30,4565299805,456530
2017-08-31,4703390137,470339
2017-09-01,4892009766,489201
2017-09-02,4578770020,457877
2017-09-03,4582959961,458296
2017-09-04,4236310059,423631
2017-09-05,4376529785,437653
2017-09-06,4597120117,459712
2017-09-07,4599879883,459988
2017-09-08,4228750000,422875
2017-09-09,4226060059,422606
2017-09-10,4122939941,412294
2017-09-11,4161270020,416127
2017-09-12,4130810059,413081
2017-09-13,3882590088,388259
2017-09-14,3154949951,315495
2017-09-15,3637520020,363752
2017-09-16,3625040039,362504
2017-09-17,3582879883,358288
2017-09-18,4065199951,406520
2017-09-19,3924969971,392497
2017-09-20,3905949951,390595
2017-09-21,3631040039,363104
2017-09-22,3630699951,363070
2017-09-23,3792399902,379240
2017-09-24,3682840088,368284
2017-09-25,3926070068,392607
2017-09-26,3892350098,389235
2017-09-27,4200669922,420067
2017-09-28,4174729980,417473
2017-09-29,4163069824,416307
2017-09-30,4338709961,433871
2017-10-01,4403740234,440374
2017-10-02,4409319824,440932
2017-10-03,4317479980,431748
2017-10-04,4229359863,422936
2017-10-05,4328410156,432841
2017-10-06,4370810059,437081
2017-10-07,4426890137,442689
2017-10-08,4610479980,461048
2017-10-09,4772020020,477202
2017-10-10,4781990234,478199
2017-10-11,4826479980,482648
2017-10-12,5446910156,544691
2017-10-13,5647209961,564721
2017-10-14,5831790039,583179
2017-10-15,5678189941,567819
2017-10-16,5725589844,572559
2017-10-17,5605509766,560551
2017-10-18,5590689941,559069
2017-10-19,5708520020,570852
2017-10-20,6011450195,601145
2017-10-21,6031600098,603160
2017-10-22,6008419922,600842
2017-10-23,5930319824,593032
2017-10-24,5526640137,552664
2017-10-25,5750799805,575080
2017-10-26,5904830078,590483
2017-10-27,5780899902,578090
2017-10-28,5753089844,575309
2017-10-29,6153850098,615385
2017-10-30,6130529785,613053
2017-10-31,6468399902,646840
2017-11-01,6767310059,676731
2017-11-02,7078500000,707850
2017-11-03,7207759766,720776
2017-11-04,7379950195,737995
2017-11-05,7407410156,740741
2017-11-06,7022759766,702276
2017-11-07,7144379883,714438
2017-11-08,7459689941,745969
2017-11-09,7143580078,714358
2017-11-10,6618140137,661814
2017-11-11,6357600098,635760
2017-11-12,5950069824,595007
2017-11-13,6559490234,655949
2017-11-14,6635750000,663575
2017-11-15,7315540039,731554
2017-11-16,7871689941,787169
2017-11-17,7708990234,770899
2017-11-18,7790149902,779015
2017-11-19,8036490234,803649
2017-11-20,8200639648,820064
2017-11-21,8071259766,807126
2017-11-22,8253549805,825355
2017-11-23,8038770020,803877
2017-11-24,8253690430,825369
2017-11-25,8790919922,879092
2017-11-26,9330549805,933055
2017-11-27,9818349609,981835
2017-11-28,10058799805,1005880
2017-11-29,9888610352,988861
2017-11-30,10233599609,1023360
2017-12-01,10975599609,1097560
2017-12-02,11074599609,1107460
2017-12-03,11323200195,1132320
2017-12-04,11657200195,1165720
2017-12-05,11916700195,1191670
2017-12-06,14291500000,1429150
2017-12-07,17899699219,1789970
2017-12-08,16569400391,1656940
