unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1601510400,2020-10-01 00:00:00,BTC/USD,10780.83,10940.22,10437.08,10622.71,8678.34728292,92187566.4657471
1601424000,2020-09-30 00:00:00,BTC/USD,10840.00,10847.50,10658.56,10778.22,4304.62269490,46396170.42262508
1601337600,2020-09-29 00:00:00,BTC/USD,10681.41,10865.00,10636.66,10836.42,4029.39173043,43664181.13546626
1601251200,2020-09-28 00:00:00,BTC/USD,10779.99,10950.00,10628.52,10689.48,4991.57062725,53357294.38857633
1601164800,2020-09-27 00:00:00,BTC/USD,10731.09,10807.14,10593.58,10780.66,2286.86162473,24653877.643261723
1601078400,2020-09-26 00:00:00,BTC/USD,10694.23,10830.00,10655.29,10729.09,2550.31630347,27362573.148396943
1600992000,2020-09-25 00:00:00,BTC/USD,10738.46,10762.65,10553.14,10689.81,6346.72379355,67845271.47552872
1600905600,2020-09-24 00:00:00,BTC/USD,10236.86,10795.53,10193.20,10744.02,6703.91881646,72027037.84242257
1600819200,2020-09-23 00:00:00,BTC/USD,10525.72,10541.39,10138.30,10233.42,5711.36066207,58446752.42644038
1600732800,2020-09-22 00:00:00,BTC/USD,10418.83,10573.05,10353.39,10534.31,4800.59855196,50570993.33189774
1600646400,2020-09-21 00:00:00,BTC/USD,10921.53,10996.98,10286.56,10411.29,9948.02125053,103571734.1654305
1600560000,2020-09-20 00:00:00,BTC/USD,11070.84,11079.25,10755.90,10923.50,3250.01749577,35501566.115043595
1600473600,2020-09-19 00:00:00,BTC/USD,10935.49,11183.01,10890.53,11077.22,2253.35153789,24960870.722545866
1600387200,2020-09-18 00:00:00,BTC/USD,10947.35,11040.18,10816.54,10931.20,4398.92439287,48085522.32334054
1600300800,2020-09-17 00:00:00,BTC/USD,10950.15,11054.00,10739.23,10940.47,5525.71740992,60453945.55170746
1600214400,2020-09-16 00:00:00,BTC/USD,10785.00,11100.00,10662.81,10951.54,8300.23983202,90900408.52996033
1600128000,2020-09-15 00:00:00,BTC/USD,10671.40,10940.01,10611.17,10783.83,6456.66295267,69627555.64889133
1600041600,2020-09-14 00:00:00,BTC/USD,10338.82,10765.03,10250.13,10675.15,7325.23245633,78197955.2561912
1599955200,2020-09-13 00:00:00,BTC/USD,10446.40,10576.78,10214.90,10334.78,4325.10556518,44699014.49291096
1599868800,2020-09-12 00:00:00,BTC/USD,10400.46,10482.42,10275.00,10443.33,2509.23983418,26204819.637487017
1599782400,2020-09-11 00:00:00,BTC/USD,10341.38,10409.44,10200.50,10393.04,5245.74244486,54519211.059127785
1599696000,2020-09-10 00:00:00,BTC/USD,10221.76,10495.75,10220.00,10342.59,10223.19117775,105734274.84308538
1599609600,2020-09-09 00:00:00,BTC/USD,10126.01,10353.39,9981.38,10232.80,5872.21951240,60089247.826486714
1599523200,2020-09-08 00:00:00,BTC/USD,10377.50,10446.18,9825.07,10123.96,10560.87470567,106917873.08521484
1599436800,2020-09-07 00:00:00,BTC/USD,10258.43,10415.66,9880.00,10377.14,8725.09203962,90541501.60802229
1599350400,2020-09-06 00:00:00,BTC/USD,10165.47,10353.39,10000.00,10260.17,5121.25180431,52544914.12502733
1599264000,2020-09-05 00:00:00,BTC/USD,10460.20,10567.90,9850.00,10167.19,12165.47308504,123688676.29548784
1599177600,2020-09-04 00:00:00,BTC/USD,10160.00,10646.75,9902.43,10456.32,17415.36005733,182100577.6746608
1599091200,2020-09-03 00:00:00,BTC/USD,11395.10,11477.35,9987.86,10160.00,18554.73121203,188516069.11422482
1599004800,2020-09-02 00:00:00,BTC/USD,11919.53,11956.45,11155.32,11398.44,13056.07287751,148818863.3299251
1598918400,2020-09-01 00:00:00,BTC/USD,11658.48,12065.82,11515.00,11923.96,7960.82238043,94924527.6313521
1598832000,2020-08-31 00:00:00,BTC/USD,11713.11,11780.00,11573.39,11655.00,4534.21810201,52846311.97892655
