date,duno,open,max,min,close,vol
2016.08.12,00:00,22743.00,22823.00,22690.00,22736.00,22523
2016.08.15,00:00,22766.00,23026.00,22709.00,23008.00,20801
2016.08.16,00:00,22990.00,23158.00,22830.00,22950.00,25269
2016.08.17,00:00,22979.00,23044.00,22739.00,22765.00,24159
2016.08.18,00:00,22913.00,23205.00,22913.00,23091.00,23335
2016.08.19,00:00,23106.00,23147.00,22843.00,22944.00,24298
2016.08.22,00:00,22993.00,23024.00,22779.00,22871.00,27474
2016.08.23,00:00,22912.00,23109.00,22855.00,23069.00,24467
2016.08.24,00:00,23041.00,23041.00,22684.00,22791.00,23384
2016.08.25,00:00,22780.00,22898.00,22722.00,22841.00,23566
2016.08.26,00:00,22804.00,23121.00,22795.00,23043.00,23102
2016.08.29,00:00,22886.00,22915.00,22736.00,22891.00,24611
2016.08.30,00:00,22911.00,23091.00,22881.00,23024.00,20516
2016.08.31,00:00,23001.00,23049.00,22913.00,22913.00,20807
2016.09.01,00:00,22932.00,23236.00,22823.00,23080.00,23832
2016.09.02,00:00,23137.00,23481.00,23118.00,23477.00,25636
2016.09.05,00:00,23480.00,23687.00,23465.00,23635.00,20088
2016.09.06,00:00,23617.00,23791.00,23568.00,23695.00,23393
2016.09.07,00:00,23779.00,23806.00,23682.00,23723.00,20386
2016.09.08,00:00,23728.00,23994.00,23679.00,23950.00,23894
2016.09.09,00:00,23891.00,24401.00,23818.00,23833.00,28781
2016.09.12,00:00,23602.00,23657.00,23144.00,23468.00,33067
2016.09.13,00:00,23552.00,23636.00,23036.00,23072.00,32672
2016.09.14,00:00,23141.00,23375.00,23141.00,23258.00,31150
2016.09.15,00:00,23209.00,23546.00,23178.00,23525.00,27092
2016.09.19,00:00,23479.00,23622.00,23396.00,23554.00,24680
2016.09.20,00:00,23476.00,23583.00,23390.00,23545.00,24380
2016.09.21,00:00,23523.00,23740.00,23431.00,23638.00,25266
2016.09.22,00:00,23875.00,24069.00,23672.00,23888.00,27314
2016.09.23,00:00,23864.00,23879.00,23605.00,23667.00,24938
2016.09.26,00:00,23539.00,23549.00,23252.00,23314.00,22241
2016.09.27,00:00,23173.00,23645.00,23167.00,23495.00,25851
2016.09.28,00:00,23494.00,23692.00,23351.00,23570.00,20852
2016.09.29,00:00,23771.00,23844.00,23603.00,23714.00,23242
2016.09.30,00:00,23508.00,23590.00,23217.00,23579.00,27623
2016.10.03,00:00,23612.00,23746.00,23501.00,23558.00,18033
2016.10.04,00:00,23600.00,23724.00,23507.00,23663.00,23401
2016.10.05,00:00,23560.00,23848.00,23516.00,23828.00,23259
2016.10.06,00:00,23838.00,24017.00,23791.00,23894.00,24080
2016.10.07,00:00,23912.00,23939.00,23768.00,23790.00,26864
2016.10.11,00:00,24034.00,24091.00,23347.00,23350.00,31335
2016.10.12,00:00,23435.00,23471.00,23281.00,23386.00,25448
2016.10.13,00:00,23415.00,23423.00,22876.00,23030.00,29703
2016.10.14,00:00,23104.00,23377.00,23087.00,23292.00,26776
2016.10.17,00:00,23195.00,23204.00,22940.00,23101.00,28331
2016.10.18,00:00,23142.00,23455.00,23141.00,23415.00,26390
2016.10.19,00:00,23349.00,23450.00,23218.00,23417.00,23779
2016.10.20,00:00,23382.00,23500.00,23320.00,23344.00,22151
2016.10.24,00:00,23355.00,23636.00,23209.00,23551.00,23806
2016.10.25,00:00,23581.00,23648.00,23456.00,23480.00,21517
2016.10.26,00:00,23437.00,23465.00,23254.00,23351.00,23510
2016.10.27,00:00,23318.00,23345.00,22996.00,23111.00,19607
2016.10.28,00:00,23119.00,23167.00,22844.00,22988.00,22426
2016.10.31,00:00,22810.00,23083.00,22741.00,22900.00,19869
2016.11.01,00:00,22917.00,23264.00,22907.00,23060.00,20084
2016.11.02,00:00,22865.00,22914.00,22745.00,22748.00,20659
